COD_COMUNA_JOIN,COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13123,13126,Quinta Normal,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13127,Recoleta,VACUNA DTPA 1 BASICO,dTpa_1basico,5,1612.0,0.3
13123,13128,Renca,VACUNA DTPA 1 BASICO,dTpa_1basico,4,1612.0,0.2
13123,13130,San Miguel,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13132,Vitacura,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13201,Puente Alto,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13202,Pirque,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13301,Colina,VACUNA DTPA 1 BASICO,dTpa_1basico,3,1612.0,0.2
13123,13302,Lampa,VACUNA DTPA 1 BASICO,dTpa_1basico,9,1612.0,0.6
13123,13303,Tiltil,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13401,San Bernardo,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13402,Buin,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13403,Calera De Tango,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13501,Melipilla,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13503,Curacavi,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13601,Talagante,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13604,Padre Hurtado,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13605,Peñaflor,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13101,Santiago,VACUNA DTPA 8 BASICO,dTpa_8basico,4,2446.0,0.2
13123,13106,Estación Central,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13107,Huechuraba,VACUNA DTPA 8 BASICO,dTpa_8basico,4,2446.0,0.2
13123,13109,La Cisterna,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13110,La Florida,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13113,La Reina,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13114,Las Condes,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13118,Macul,VACUNA DTPA 8 BASICO,dTpa_8basico,3,2446.0,0.1
13123,13119,Maipú,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13120,Ñuñoa,VACUNA DTPA 8 BASICO,dTpa_8basico,7,2446.0,0.3
13123,13122,Peñalolén,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13123,Providencia,VACUNA DTPA 8 BASICO,dTpa_8basico,2023,2446.0,82.7
13123,13124,Pudahuel,VACUNA DTPA 8 BASICO,dTpa_8basico,2,2446.0,0.1
13123,13125,Quilicura,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13127,Recoleta,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13128,Renca,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13130,San Miguel,VACUNA DTPA 8 BASICO,dTpa_8basico,2,2446.0,0.1
13123,13201,Puente Alto,VACUNA DTPA 8 BASICO,dTpa_8basico,2,2446.0,0.1
13123,13301,Colina,VACUNA DTPA 8 BASICO,dTpa_8basico,7,2446.0,0.3
13123,13302,Lampa,VACUNA DTPA 8 BASICO,dTpa_8basico,3,2446.0,0.1
13123,13401,San Bernardo,VACUNA DTPA 8 BASICO,dTpa_8basico,2,2446.0,0.1
13123,13404,Paine,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13601,Talagante,VACUNA DTPA 8 BASICO,dTpa_8basico,2,2446.0,0.1
13123,13603,Isla De Maipo,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13605,Peñaflor,VACUNA DTPA 8 BASICO,dTpa_8basico,1,2446.0,0.0
13123,13123,Providencia,VACUNA DTPA GESTANTES,dTpa_Gestantes,1228,1521.0,80.7
13123,13123,Providencia,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1047,1342.0,78.0
13123,13123,Providencia,VACUNA HEPATITIS B RN,HepB_RN,1179,1222.0,96.5
13123,13123,Providencia,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1287,1214.0,106.0
13123,13123,Providencia,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1245,1243.0,100.2
13123,13123,Providencia,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1234,1233.0,100.1
13123,13123,Providencia,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1208,1342.0,90.0
13123,13123,Providencia,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1142,1279.0,89.3
13123,13123,Providencia,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1290,1214.0,106.3
13123,13123,Providencia,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1238,1243.0,99.6
13123,13123,Providencia,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,271,1342.0,20.2
13123,13123,Providencia,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1285,1214.0,105.8
13123,13123,Providencia,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1234,1243.0,99.3
13123,13123,Providencia,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1189,1279.0,93.0
13123,13123,Providencia,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,703,1559.0,45.1
13123,13123,Providencia,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1200,1279.0,93.8
13123,13123,Providencia,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,996,1453.0,68.5
13123,13123,Providencia,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1220,1342.0,90.9
13123,13123,Providencia,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1029,1453.0,70.8
13123,13101,Santiago,VACUNA VPH 4 BASICO,VPH_4basico,7,1833.0,0.4
13123,13107,Huechuraba,VACUNA VPH 4 BASICO,VPH_4basico,4,1833.0,0.2
13123,13108,Independencia,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13110,La Florida,VACUNA VPH 4 BASICO,VPH_4basico,3,1833.0,0.2
13123,13113,La Reina,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13114,Las Condes,VACUNA VPH 4 BASICO,VPH_4basico,7,1833.0,0.4
13123,13118,Macul,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13119,Maipú,VACUNA VPH 4 BASICO,VPH_4basico,3,1833.0,0.2
13123,13120,Ñuñoa,VACUNA VPH 4 BASICO,VPH_4basico,18,1833.0,1.0
13123,13122,Peñalolén,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13123,Providencia,VACUNA VPH 4 BASICO,VPH_4basico,1553,1833.0,84.7
13123,13124,Pudahuel,VACUNA VPH 4 BASICO,VPH_4basico,3,1833.0,0.2
13123,13125,Quilicura,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13126,Quinta Normal,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13127,Recoleta,VACUNA VPH 4 BASICO,VPH_4basico,3,1833.0,0.2
13123,13128,Renca,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13129,San Joaquín,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13130,San Miguel,VACUNA VPH 4 BASICO,VPH_4basico,5,1833.0,0.3
