COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13106,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1424
13106,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1470
13106,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1498
13106,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1416
13106,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1429
13106,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,167
13106,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1408
13106,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1436
13106,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1451
13106,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,549
13106,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1472
13106,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1105
13106,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1496
13106,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1172
13106,VACUNA VPH 4 BASICO,VPH_4basico,1516
13106,VACUNA VPH 5 BASICO,VPH_5basico,1189
13107,VACUNA BCG,BCG_RN,824
13107,VACUNA DTPA 1 BASICO,dTpa_1basico,929
13107,VACUNA DTPA 8 BASICO,dTpa_8basico,1008
13107,VACUNA DTPA GESTANTES,dTpa_Gestantes,794
13107,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,846
13107,VACUNA HEPATITIS B RN,HepB_RN,812
13107,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,833
13107,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,811
13107,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,800
13107,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,870
13107,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,841
