COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13111,La Granja,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1618
13111,La Granja,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1056
13111,La Granja,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1080
13111,La Granja,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1120
13111,La Granja,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1104
13112,La Pintana,VACUNA BCG,BCG_HepB_RN,1369
13112,La Pintana,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1617
13112,La Pintana,VACUNA HEPATITIS B RN,BCG_HepB_RN,1354
13112,La Pintana,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1470
13112,La Pintana,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1549
13112,La Pintana,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1510
13112,La Pintana,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1521
13112,La Pintana,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1613
13112,La Pintana,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1685
13112,La Pintana,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1601
13112,La Pintana,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1562
13113,La Reina,VACUNA BCG,BCG_HepB_RN,515
13113,La Reina,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,549
13113,La Reina,VACUNA HEPATITIS B RN,BCG_HepB_RN,491
13113,La Reina,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,539
13113,La Reina,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,585
13113,La Reina,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,594
13113,La Reina,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1694
13113,La Reina,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,599
13113,La Reina,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,642
13113,La Reina,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,784
13113,La Reina,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,764
13114,Las Condes,VACUNA BCG,BCG_HepB_RN,2623
13114,Las Condes,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,2351
13114,Las Condes,VACUNA HEPATITIS B RN,BCG_HepB_RN,2670
13114,Las Condes,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,2942
13114,Las Condes,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,2954
13114,Las Condes,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,3020
13114,Las Condes,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,3113
13114,Las Condes,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,3035
13114,Las Condes,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,2632
13114,Las Condes,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,3468
13114,Las Condes,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3211
13115,Lo Barnechea,VACUNA BCG,BCG_HepB_RN,920
13115,Lo Barnechea,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1040
13115,Lo Barnechea,VACUNA HEPATITIS B RN,BCG_HepB_RN,840
13115,Lo Barnechea,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1079
13115,Lo Barnechea,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1201
13115,Lo Barnechea,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1150
13115,Lo Barnechea,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1251
13115,Lo Barnechea,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1172
13115,Lo Barnechea,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1120
13115,Lo Barnechea,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1335
13115,Lo Barnechea,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1431
13116,Lo Espejo,VACUNA BCG,BCG_HepB_RN,679
13116,Lo Espejo,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,973
13116,Lo Espejo,VACUNA HEPATITIS B RN,BCG_HepB_RN,677
13116,Lo Espejo,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,796
13116,Lo Espejo,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,970
13116,Lo Espejo,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,909
13116,Lo Espejo,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1334
13116,Lo Espejo,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,925
13116,Lo Espejo,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,940
13116,Lo Espejo,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,955
13116,Lo Espejo,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,989
13117,Lo Prado,VACUNA BCG,BCG_HepB_RN,600
13117,Lo Prado,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1069
13117,Lo Prado,VACUNA HEPATITIS B RN,BCG_HepB_RN,530
13117,Lo Prado,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,882
13117,Lo Prado,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1052
13117,Lo Prado,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,968
13117,Lo Prado,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1130
13117,Lo Prado,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1009
13117,Lo Prado,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1176
13117,Lo Prado,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1077
13117,Lo Prado,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,975
13118,Macul,VACUNA BCG,BCG_HepB_RN,919
13118,Macul,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,938
13118,Macul,VACUNA HEPATITIS B RN,BCG_HepB_RN,907
13118,Macul,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,897
13118,Macul,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,959
13118,Macul,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,914
13118,Macul,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1750
13118,Macul,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,938
13118,Macul,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,840
13118,Macul,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,999
13118,Macul,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,887
13119,Maipú,VACUNA BCG,BCG_HepB_RN,3447
13119,Maipú,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,3761
13119,Maipú,VACUNA HEPATITIS B RN,BCG_HepB_RN,3378
13119,Maipú,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3307
13119,Maipú,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,3733
13119,Maipú,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,3667
13119,Maipú,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,6036
13119,Maipú,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,3874
13119,Maipú,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3841
13119,Maipú,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,4037
13119,Maipú,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3554
13120,Ñuñoa,VACUNA BCG,BCG_HepB_RN,1934
13120,Ñuñoa,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1768
13120,Ñuñoa,VACUNA HEPATITIS B RN,BCG_HepB_RN,1864
13120,Ñuñoa,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,2023
13120,Ñuñoa,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,2085
13120,Ñuñoa,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,2037
13120,Ñuñoa,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,3351
13120,Ñuñoa,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,2064
13120,Ñuñoa,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1748
13120,Ñuñoa,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,2266
13120,Ñuñoa,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1937
13121,Pedro Aguirre Cerda,VACUNA BCG,BCG_HepB_RN,667
13121,Pedro Aguirre Cerda,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1015
13121,Pedro Aguirre Cerda,VACUNA HEPATITIS B RN,BCG_HepB_RN,655
13121,Pedro Aguirre Cerda,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,750
13121,Pedro Aguirre Cerda,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,918
13121,Pedro Aguirre Cerda,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,849
13121,Pedro Aguirre Cerda,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1406
13121,Pedro Aguirre Cerda,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,897
13121,Pedro Aguirre Cerda,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1002
13121,Pedro Aguirre Cerda,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1008
13121,Pedro Aguirre Cerda,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,968
13122,Peñalolén,VACUNA BCG,BCG_HepB_RN,1635
13122,Peñalolén,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1986
13122,Peñalolén,VACUNA HEPATITIS B RN,BCG_HepB_RN,1629
13122,Peñalolén,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1892
13122,Peñalolén,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,2050
13122,Peñalolén,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,2066
13122,Peñalolén,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,2413
13122,Peñalolén,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,2123
13122,Peñalolén,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1779
13122,Peñalolén,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,2324
13122,Peñalolén,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1948
13123,Providencia,VACUNA BCG,BCG_HepB_RN,1239
13123,Providencia,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1088
13123,Providencia,VACUNA HEPATITIS B RN,BCG_HepB_RN,1172
