COD_COMUNA_JOIN,COMUNA_CALCULO,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13503,Curacaví,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,295,304.0,97.0
13503,Curacaví,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,299,316.0,94.6
13503,Curacaví,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,205,386.0,53.1
13503,Curacaví,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,297,316.0,94.0
13503,Curacaví,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,284,352.0,80.7
13503,Curacaví,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,320,345.0,92.8
13503,Curacaví,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,282,352.0,80.1
13503,Curacaví,VACUNA VPH 4 BASICO,VPH_4basico,499,562.0,88.8
13503,Curacaví,VACUNA VPH 5 BASICO,VPH_5basico,395,531.0,74.4
13504,María Pinto,VACUNA BCG,BCG_RN,109,135.0,80.7
13504,María Pinto,VACUNA DTPA 1 BASICO,dTpa_1basico,144,164.0,87.8
13504,María Pinto,VACUNA DTPA 8 BASICO,dTpa_8basico,131,175.0,74.9
13504,María Pinto,VACUNA DTPA GESTANTES,dTpa_Gestantes,115,178.0,64.6
13504,María Pinto,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,186,172.0,108.1
13504,María Pinto,VACUNA HEPATITIS B RN,HepB_RN,111,135.0,82.2
13504,María Pinto,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,136,136.0,100.0
13504,María Pinto,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,124,118.0,105.1
13504,María Pinto,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,135,121.0,111.6
13504,María Pinto,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,187,172.0,108.7
13504,María Pinto,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,155,142.0,109.2
13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,137,136.0,100.7
13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,123,118.0,104.2
13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,33,172.0,19.2
13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,135,136.0,99.3
13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,124,118.0,105.1
13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,156,142.0,109.9
13504,María Pinto,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,72,154.0,46.8
13504,María Pinto,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,158,142.0,111.3
13504,María Pinto,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,137,170.0,80.6
13504,María Pinto,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,187,172.0,108.7
13504,María Pinto,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,139,170.0,81.8
13504,María Pinto,VACUNA VPH 4 BASICO,VPH_4basico,164,187.0,87.7
13504,María Pinto,VACUNA VPH 5 BASICO,VPH_5basico,103,166.0,62.0
13505,San Pedro,VACUNA BCG,BCG_RN,104,134.0,77.6
13505,San Pedro,VACUNA DTPA 1 BASICO,dTpa_1basico,145,74.0,195.9
13505,San Pedro,VACUNA DTPA 8 BASICO,dTpa_8basico,141,140.0,100.7
13505,San Pedro,VACUNA DTPA GESTANTES,dTpa_Gestantes,117,131.0,89.3
13505,San Pedro,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,165,163.0,101.2
13505,San Pedro,VACUNA HEPATITIS B RN,HepB_RN,128,134.0,95.5
13505,San Pedro,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,145,136.0,106.6
13505,San Pedro,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,142,129.0,110.1
13505,San Pedro,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,146,127.0,115.0
13505,San Pedro,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,166,163.0,101.8
13505,San Pedro,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,161,146.0,110.3
13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,165,136.0,121.3
13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,150,129.0,116.3
13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,20,163.0,12.3
13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,147,136.0,108.1
13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,145,129.0,112.4
13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,160,146.0,109.6
13505,San Pedro,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,82,127.0,64.6
13505,San Pedro,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,160,146.0,109.6
13505,San Pedro,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,101,125.0,80.8
13505,San Pedro,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,168,163.0,103.1
13505,San Pedro,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,105,125.0,84.0
13505,San Pedro,VACUNA VPH 4 BASICO,VPH_4basico,145,74.0,195.9
13505,San Pedro,VACUNA VPH 5 BASICO,VPH_5basico,127,58.0,219.0
13601,Talagante,VACUNA BCG,BCG_RN,610,614.0,99.3
13601,Talagante,VACUNA DTPA 1 BASICO,dTpa_1basico,1050,1188.0,88.4
13601,Talagante,VACUNA DTPA 8 BASICO,dTpa_8basico,1312,1523.0,86.1
13601,Talagante,VACUNA DTPA GESTANTES,dTpa_Gestantes,459,803.0,57.2
13601,Talagante,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,704,773.0,91.1
13601,Talagante,VACUNA HEPATITIS B RN,HepB_RN,605,614.0,98.5
13601,Talagante,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,642,631.0,101.7
13601,Talagante,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,652,655.0,99.5
13601,Talagante,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,695,680.0,102.2
13601,Talagante,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,714,773.0,92.4
13601,Talagante,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,694,736.0,94.3
13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,639,631.0,101.3
13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,652,655.0,99.5
13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,124,773.0,16.0
13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,643,631.0,101.9
13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,654,655.0,99.8
13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,696,736.0,94.6
13601,Talagante,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,374,763.0,49.0
13601,Talagante,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,702,736.0,95.4
13601,Talagante,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,613,767.0,79.9
13601,Talagante,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,714,773.0,92.4
13601,Talagante,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,623,767.0,81.2
13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,1229,1386.0,88.7
13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,1042,1357.0,76.8
13602,El Monte,VACUNA BCG,BCG_RN,313,345.0,90.7
13602,El Monte,VACUNA DTPA 1 BASICO,dTpa_1basico,398,426.0,93.4
13602,El Monte,VACUNA DTPA 8 BASICO,dTpa_8basico,425,485.0,87.6
13602,El Monte,VACUNA DTPA GESTANTES,dTpa_Gestantes,248,420.0,59.0
13602,El Monte,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,293,363.0,80.7
13602,El Monte,VACUNA HEPATITIS B RN,HepB_RN,317,345.0,91.9
13602,El Monte,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,307,338.0,90.8
13602,El Monte,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,298,336.0,88.7
13602,El Monte,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,298,338.0,88.2
13602,El Monte,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,307,363.0,84.6
13602,El Monte,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,244,309.0,79.0
13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,307,338.0,90.8
13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,299,336.0,89.0
13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,38,363.0,10.5
13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,306,338.0,90.5
13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,297,336.0,88.4
13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,277,309.0,89.6
13602,El Monte,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,250,372.0,67.2
13602,El Monte,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,275,309.0,89.0
13602,El Monte,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,269,401.0,67.1
13602,El Monte,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,302,363.0,83.2
13602,El Monte,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,270,401.0,67.3
13602,El Monte,VACUNA VPH 4 BASICO,VPH_4basico,520,554.0,93.9
13602,El Monte,VACUNA VPH 5 BASICO,VPH_5basico,432,513.0,84.2
13603,Isla de Maipo,VACUNA BCG,BCG_RN,312,333.0,93.7
